,vessel.mmsi,vessel.name,vessel.flag
30275,367124290,CAPE      DENBIGH,USA
30341,533000333,KHA YANG 333,MYS
30387,370190000,SEA PEARL I,PAN
30416,367656470,M&M,USA
30417,273352700,CORONA REEFER,RUS
30454,353237000,MING HANG 7,PAN
30752,412440835,FUYUANYUYUN877,CHN
30880,431011644,NAMIICHIMARU NO53,JPN
30889,440686000,DHARA,KOR
30909,412336888,LURONGYUANYUYUN008,CHN
30943,370115000,NESTOS REEFER,PAN
30958,312887000,HAI FENG 668,BLZ
30970,725000926,ORCA CHONO,CHL
30974,257349500,HORISONT III,NOR
30975,370136000,YONG XIANG 3,PAN
31039,368022610,VERMILION,USA
31060,529354000,HUA JIAN 107,KIR
31063,431001964,GENPUKUMARU NO.38,JPN
31068,412420937,NINGTAILENG2,CHN
31078,412420937,NING TAI LENG 2,CHN
31134,440170000,SEIN VENUS,KOR
31152,529101000,HUA JIAN 1,KIR
31157,416567000,LIAN CHUAN SHENG 66,TWN
31309,338898000,EGEGIK SPIRIT,USA
31317,374115000,M/V SEA GLORY II,PAN
31318,367187410,SELDOVIA,USA
31320,356986000,DESIGNER KNYSH,PAN
31321,412440653,FU YUAN YU YUN 998,CHN
31330,273872100,RUBINOVYY,RUS
31331,412420155,ZHEPUYULENG208,CHN
31350,258818000,SILVER HORN,NOR
31351,441032000,SEISHIN,KOR
31522,308765000,TAMA HOPE,BHS
31526,725000879,SEIFYR,CHL
31528,412549501,FU YUAN YU YUN 878,CHN
31547,367302960,BRUIN BAY,USA
31556,725004310,BUCALEMU,CHL
31562,367139360,TOTEM,USA
31589,371100000,YUNG DA FA 101,PAN
31596,374363000,HSIANG HAO,PAN
31676,356189578,YUNG DA FA 102,PAN
31686,525500908,KM NUSANTARA JAYA 33,IDN
31689,636092421,LAGOON PHOENIX,LBR
31690,576277000,SHIN IZU,VUT
31696,373731000,FRIO ANTARCTIC I,PAN
31703,273434080,NADEZHDA,RUS
31704,529304000,SEIWA,KIR
31732,341099000,ATLANTIC LADY,KNA
31741,416602000,SHUN TIAN FA NO.168,TWN
31750,367510750,NATIVE SUN,USA
31751,354240000,TAGANROGSKIY ZALIV,PAN
31766,431100941,TAIYO MARU NO.38,JPN
31794,431800120,SYOTOKU MARU NO37,JPN
31795,273374170,FRIO VLADIVOSTOK,RUS
31864,431700203,NO.33 NITTOMARU,JPN
31865,576285000,HOUTA MARU,VUT
31903,412420155,ZHE PU YUAN LENG 208,CHN
31934,511100478,GREEN ATLANTIC,PLW
31935,377907052,DAE YOUNG 111,VCT
31938,258571000,RONJA SUPERIOR,NOR
31939,341095000,SUNNY LISA,KNA
31942,352533000,VIVA106,PAN
31994,306497000,NOVA ZEELANDIA,BES
31997,367445470,CAPE GREIG,USA
32001,367028490,MADISON.HUNTER,USA
32006,273334010,KURILSKOYE OZERO,RUS
32018,514266000,MING FENG,KHM
32034,374407000,YONG HANG 9,PAN
32094,273338510,CRYSTAL AFRICA,RUS
32342,371790000,KAI DE,PAN
32346,354003000,SHEN  JU,PAN
32787,366762440,DOLPHIN,USA
32818,273290500,OSTROV ITURUP,RUS
32876,311042300,GREEN TOLEDO,BHS
32881,440283000,SEIYU,KOR
33087,316001828,RONJA CARRIER,CAN
33092,273435310,BASKUNCHAKSKIY,RUS
33108,577105000,RYOMA,VUT
33134,412330148,LURONGYUANYUYUN678,CHN
33139,367178270,RAIDAWN,USA
33140,277312000,ANDROMEDA,LTU
33150,576689000,ZEFYROS,VUT
33155,542176110,FRIENDSHIP,NIU
33157,210631000,FRIO FORWIN,CYP
33212,413320280,DUBIAN6,CHN
33213,636008972,TRITON REEFER,LBR
33297,538002998,TORAH,MHL
33298,273815000,VLAD ORION,RUS
33412,413382920,HENG HONG 11,CHN
33453,311001116,RUNAWAY BAY,BHS
33465,412440754,FU YUAN YU YUN 699,CHN
33530,548960200,F/V CHESSA-888,PHL
33531,412549038,LURONGYUANYUYUN999,CHN
33583,273335960,FRIO AGATES,RUS
33843,273311860,"M/V ""PROGRESS""",RUS
34041,370599000,IBUKI,PAN
34315,374723000,YUN RUN 3,PAN
34645,412549473,LURONGYUANYUYUN178,CHN
34668,525301232,BANDAR NELAYAN 2023 ,IDN
34691,273312860,GARMONIYA,RUS
34898,431149000,SUMIHOUMARU NO.68,JPN
34906,576107000,LADY TUNA,VUT
34911,725014700,SEIFJORD,CHL
34912,367489280,KAMILAR,USA
34917,351776000,MING HANG,PAN
35009,576414000,TENHO MARU,VUT
35041,273395490,CRYSTAL ANTARCTIDA,RUS
35199,636016278,BALTIC PIONEER,LBR
35200,372177000,MV KRASKINO,PAN
35220,273358980,CAPTAIN MOKEEV,RUS
35489,636017752,WEI SHUN,LBR
35655,273817200,EVGENIY ZOTOV,RUS
35693,273348520,PAVLOVSK,RUS
35737,374446000,HARU,PAN
35859,306752000,NOVA FLORIDA,BES
35878,440241000,SEIN VENUS,KOR
35880,351763000,SHIN HANG,PAN
36065,367038430,WINDWARD,USA
36074,525600244,NUSANTARA JAYA,IDN
36075,341537000,BEAM,KNA
36090,412440838,FU YUAN YU YUN 266,CHN
36178,273398990,FRIO SAPFIR,RUS
36420,377906047,MV BARANA,VCT
36429,529844000,ZHONGZHOU1,KIR
36452,725002783,RONIA DIAMOND,CHL
36453,352182000,HAIJILI,PAN
36477,271073148,ULUCAN BALIKCILIK 1,TUR
36479,548222100,F/V KENKEN 888,PHL
36481,273295560,ALAID,RUS
36526,440101000,MONONOK,KOR
36547,273357670,FRIO SEVASTOPLIS,RUS
36677,273294090,FRIO NAVARIN,RUS
36693,371542000,NO1 POHAH,PAN
36706,374445000,QI HANG,PAN
37046,357172000,YONG HANG 3,PAN
37458,273393960,REEFER,RUS
37467,231792000,HARENGUS,FRO
37468,325889000,OCEAN STAR 88,DMA
37499,271072997,AKERKO,TUR
37519,357788000,VICTORIA NO.168,PAN
37539,576420000,VICTORIA,VUT
37571,412420329,XINZHOU,CHN
37595,667001392,OCEAN STAR 98,SLE
37602,529578000,YUN RUN 3,KIR
37631,367615570,BERING BEAUTY,USA
37633,271043372,AKUA GROUP 2,TUR
37639,273191300,OBAYATELNYY,RUS
37644,273312950,ORION,RUS
37776,273855000,ATROPUS,RUS
37826,353946000,TAGANROGSKIY ZALIV,PAN
37904,351537000,RUI SHENG,PAN
37980,273451390,FRIO ARKHANGELSK,RUS
38095,431900242,NO.16WAJIMAMARU,JPN
38096,371335000,HAI FENG 628,PAN
38156,354929000,KANO REEFER,PAN
38171,372768000,FULL KUO SHIN,PAN
38598,273422240,KAPITAN KIRICHENKO,RUS
38834,273897100,KAPITAN EFREMOV,RUS
39762,357670000,SARONIC BREEZE,PAN
39886,431678000,TAISEI MARU NO.24,JPN
39903,273319440,GREEN TUNDRA,RUS
40144,341384000,REINA,KNA
40145,273449080,SORAKSAN,RUS
40329,356728000,DON REEFER,PAN
40335,273432530,GUTSUL,RUS
40361,273332290,BUKHTA RUSSKAYA,RUS
40625,636018031,BAO REEFER,LBR
40696,312862000,NORMANDIC,BLZ
40697,353786000,ZHONG FU HAO 111,PAN
40806,273842700,AMAYAN,RUS
40813,371812000,FRIO POSEIDON,PAN
40909,367120720,CURRENTSEA,USA
40917,636017010,NOVA STELLA,LBR
40920,273313270,SIMFONIYA,RUS
41183,370934000,VICTORIA NO.268,PAN
41192,354683000,EITA MARU,PAN
41195,725001071,TYR,CHL
41203,525301499,KM SCANIA 1,IDN
41204,367402920,OCEAN MAID,USA
41211,273358660,BUKHTA NATALII,RUS
41384,367014560,BALAENA,USA
41385,636092422,WATER PHOENIX,LBR
41391,352241000,TUNA PRINCESS,PAN
41438,312774000,MV HENG YU,BLZ
41441,277380000,CAPELLA,LTU
41443,352784000,FRIO ANTWERP,PAN
41458,371156000,HUA FU 207,PAN
41481,371718984,DAFENG MARINER,PAN
41498,366993790,KATHLEEN K,USA
41504,372047000,MEITA MARU,PAN
41580,412336831,LURONGYUANYUYUN008,CHN
41700,273825700,ZALIV VOSTOK,RUS
